news_id,group_id,partition,ticker,published_at,title,summary,language,label,reason,annotator_id,reviewed_at
06edf3cb1beafcc64426b86dd8e8e70f9fd7b6347fb6baffc108e90b0e29e1c4,08fee79c3384d66254e7c49acf1b82ddfaba4009bb85b9c83b33345a84fb2593,development,AAPL,2016-02-16 05:51:34,Customer Letter,"Apple released a public letter explaining its opposition to a U.S. government demand to build a ""backdoor"" into the iPhone for the San Bernardino investigation. The company argues that creating such a tool would compromise the security of all iPhone users, set a dangerous precedent, and weaken encryption that protects personal data from hackers and criminals. Apple emphasizes its commitment to safeguarding customer privacy and states that acceding to the government's request would undermine decades of security advancements.",,,,,
0c0b847a74421eecb03c71a9606efff5f9526036e21e729ad0b01c4824a48524,6bf1a09a09db497041e6fc8b863c5f07a4b95b0299ac602980cc8ef5ec62cbd4,development,AAPL,2022-11-23 00:28:00,IPhone Pro models scarce in stores this holiday - Best Buy,"Best Buy announced that higher-end iPhone 14 Pro models will be in short supply this holiday season due to production issues caused by China's zero-COVID policy. This scarcity is expected to negatively impact sales for both Best Buy and Apple during the crucial Black Friday and holiday shopping period, potentially pushing some sales into the next quarter. Despite strong demand for premium smartphones, analysts estimate a significant drop in iPhone sales compared to the previous year.",,,,,
109aade7ab14dfe0ca8331facb28ec442f9ed3f0c3dc1b73f4d31b62c961fff6,0c8afb0e00e751557535d9eb462ebc8ef4a9b97e9964be68313beef50fd96e1e,development,AAPL,2020-02-18 22:36:44,This Growth ETF Continues Winning,"The article discusses the continued outperformance of growth stocks over value stocks in early 2020, driven by technology and consumer discretionary sectors. It highlights the SPDR Portfolio S&P 500 Growth ETF (SPYG) as a strong performer, noting its impressive year-to-date gains compared to the broader S&P 500 and S&P 500 Value Index. The piece also contrasts growth and value investing strategies and mentions significant inflows into SPYG.",,,,,
11e8f8aec47f34a9ed91721288f11e2a143e0cba21ba0bd4d4b735586fcf3aac,5ce95b46e7f8efa2a018305d8ec7919855a3c396a377cb0a50202e0c3b1190c7,development,AAPL,2022-08-11 09:23:33,How Microsoft secures its spot among the world's most valuable brands,"Microsoft has become one of the world's most valuable brands, with its brand value reaching $661 billion in 2022, securing the number four spot in Kantar BrandZ Most Valuable Global Brands. The company's success is attributed to its meaningful, different, and salient offerings, including superior cloud, software, and hardware products, as well as its commitment to sustainability. Under CEO Satya Nadella, Microsoft has focused on specific market segments, leading to a tenfold increase in brand value and solidifying its position as the world's most valuable business services brand, further boosted by the continued digital transformation and remote work trends.",,,,,
131a1d4c394047da501e472743790115aa58b5f2608b3c13307ed96628670070,9e57185b9ba23df7630b0ab6570a207b304085a46b0289009f9fab1ec61b0ab9,development,AAPL,2023-04-12 01:31:39,"Apple iPhone 15 Pro, iPhone 15 Pro Max Might Stick To Physical Instead Of Solid State Buttons","Apple analyst Ming-Chi Kuo reports that the iPhone 15 Pro and 15 Pro Max will likely retain physical buttons instead of moving to solid-state buttons due to unresolved technical challenges. This change might negatively impact Taptic Engine component suppliers like Cirrus Logic and AAC Technologies. However, it is not expected to delay mass production or shipments, and the solid-state button concept may be pushed to the iPhone 16 series.",,,,,
135d8e6b1d62c6f7db24c0a2eecfe46a9eba9a3c8c7fd1375909a78898301974,1037a148a79b12fbfbdbc494b39aa2c2ca07cbdbaab75e0905bf2a3db6e71904,development,AAPL,2022-09-07 15:10:00,"Union groups, investors seek worker rights review at Apple","Labor groups and investors have filed a shareholder proposal requesting Apple Inc. to review its worker rights practices, citing a potential ""misalignment"" between Apple's public commitments and alleged anti-union activities. This proposal comes amidst growing unionization efforts at Apple retail stores and builds on previous successful shareholder resolutions concerning civil rights audits and non-disclosure agreements.",,,,,
1aa48143bb166cbe96053f88b867855d51b6a3efcd27f463b00ee1e8ee7ed343,a37196ca55bf779558c54a7c5b9720ea2d53beeeb726c60b00eb33c7f36c89f4,development,AAPL,2019-12-02 23:41:23,Apple worth more than US stock index’s energy sector,"Apple's market capitalization has surged to nearly $1.2 trillion, surpassing the entire S&P 500 energy sector. This growth is attributed to a strong share rally and the success of its wearables division, contrasting with the struggles of the energy sector due to stagnant oil prices and investor concerns over climate-unfriendly industries.",,,,,
2604855175d1e558e7432b9de87ea2743f56f991822cb9d7fcd8ecdd4ef1d62f,28e127971b9b0284f742506e7ae4b9c93a820f8fcde4fe828e21f397b749e722,development,AAPL,2017-02-21 04:22:08,Why did Emerson Network Power rebrand itself as Vertiv?,"Emerson Network Power rebranded as Vertiv in January 2017, following its sale by Emerson Electric Co. to Platinum Equity. This transition to a privately-held company allows Vertiv greater flexibility in business strategy, investment decisions, and the ability to focus on long-term growth as a standalone entity. Vertiv aims to capitalize on growth opportunities in Southeast Asia, particularly in cloud computing, data centers, and advanced network infrastructure.",,,,,
27bbd1c00a9499fb8fb0c99c98ce2b0492b6014965d69ef813241eb6183eee7c,037a753123e621b86220a06bcacb3947922155cf3bcacd1f7020ff93b786da65,development,AAPL,2019-09-11 19:29:00,Why Markets Think Trump Tariffs Will Help Apple and Hurt Amazon,"This article explores why markets believe tariffs will impact Apple positively and Amazon negatively. It highlights Apple's strong embedded position within the Chinese economy, suggesting that China needs Apple as much, if not more, than Apple needs China, thus incentivizing protection from tariffs. Conversely, Amazon's business model, heavily reliant on Chinese-made goods without a similar indispensable role in China's economy, makes it vulnerable to tariff impacts.",,,,,
2be00708e73b486f5bbdd61fd47ba0d605ae53f41aef670470cf5925d2ef3d78,c00046224379fe2ff086cf2cd9fe44f9f7ac66a7e0e4e4e458b94b012adb4c62,development,AAPL,2019-07-09 23:41:24,Apple Updates MacBook Air and MacBook Pro,"Apple announced updates to its MacBook Air and MacBook Pro lines, adding True Tone display technology to the MacBook Air and upgrading the entry-level 13-inch MacBook Pro with faster processors and Touch Bar/Touch ID. These updates come with new pricing, including special discounts for university students. The company also announced its Back to School promotion and highlighted features coming with macOS Catalina.",,,,,
